C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_53_375.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_53_375.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_53_375.jpg, 0, 0, 0, 3.854674E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_53_476.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_53_476.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_53_476.jpg, 0, 0, 0, 3.838267E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_53_577.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_53_577.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_53_577.jpg, 0, 0, 0, 5.630044E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_53_678.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_53_678.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_53_678.jpg, 0, 0, 0, 3.902163E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_53_779.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_53_779.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_53_779.jpg, 0, 0, 0, 4.029017E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_53_881.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_53_881.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_53_881.jpg, 0, 0, 0, 3.852958E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_53_983.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_53_983.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_53_983.jpg, 0, 0, 0, 5.669578E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_54_085.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_54_085.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_54_085.jpg, 0, 0, 0, 5.634204E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_54_186.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_54_186.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_54_186.jpg, 0, 0, 0, 4.399543E-05
C:\Users\dg420\OneDrive\data\IMG\center_2024_06_04_20_54_54_287.jpg, C:\Users\dg420\OneDrive\data\IMG\left_2024_06_04_20_54_54_287.jpg, C:\Users\dg420\OneDrive\data\IMG\right_2024_06_04_20_54_54_287.jpg, 0, 0, 0, 6.542595E-05
